date,TUSD0005
2022-01-01,4.531928000000001
2022-02-01,4.380417625
2022-03-01,4.375024375
2022-04-01,4.4908793750000005
2022-05-01,5.058568875
2022-06-01,5.529978875
2022-07-01,5.78615825
2022-08-01,7.88233475
2022-09-01,8.1933455
2022-10-01,8.58106025
2022-11-01,11.065051375
2022-12-01,17.46713875
2023-01-01,22.345732875
2023-02-01,24.330448875
2023-03-01,24.494943
2023-04-01,24.719362125
2023-05-01,26.23416625
2023-06-01,27.981179750000003
2023-07-01,29.466820375
2023-08-01,32.557652
2023-09-01,34.38236825
2023-10-01,35.021468375
2023-11-01,35.468708625000005
2023-12-01,35.914350875
2024-01-01,36.214774875
2024-02-01,36.10661025
2024-03-01,36.244238
2024-04-01,36.42740875
2024-05-01,36.488732
2024-06-01,36.40064225


 Definition: Cotización del USD en Venezuela. Source: BCE
