date,TREA0007
2022-01-01,99.0111214545983
2022-02-01,99.46434862660486
2022-03-01,100.21714077514874
2022-04-01,100.20006622721668
2022-05-01,100.39932095387492
2022-06-01,100.8709436173508
2022-07-01,99.45836263597252
2022-08-01,98.08333532983376
2022-09-01,97.75324415751813
2022-10-01,97.67876926812662
2022-11-01,97.810085640863
2022-12-01,97.8178478551174
2023-01-01,98.62121445349491
2023-02-01,98.63676594696952
2023-03-01,98.75310988505196
2023-04-01,98.74039920302462
2023-05-01,98.87732034460043
2023-06-01,98.56223604836984
2023-07-01,98.00534899195516
2023-08-01,97.7401234323359
2023-09-01,97.82812993937496
2023-10-01,97.82390848444103
2023-11-01,98.2698493784996
2023-12-01,98.369106568907
2024-01-01,98.49229704286392
2024-02-01,98.73464488399392
2024-03-01,98.79319938912197
2024-04-01,97.68307163364015
2024-05-01,97.62358601882627
2024-06-01,98.6628100420742


 Definition: Tipo de cambio real bilateral Panamá. Source: BCE
