date,RIND0000
2007-12-01,
2008-06-01,
2008-12-01,
2009-12-01,
2010-06-01,
2010-12-01,
2011-06-01,
2011-12-01,
2012-06-01,
2012-12-01,
2013-06-01,
2013-12-01,
2014-06-01,
2014-12-01,
2015-06-01,
2015-12-01,
2016-06-01,
2016-12-01,
2017-06-01,
2017-12-01,
2018-06-01,
2018-12-01,
2019-06-01,
2019-12-01,
2020-12-01,
2021-06-01,
2021-12-01,
2022-06-01,
2022-12-01,
2023-06-01,
2023-12-01,
2024-06-01,
2024-07-01,150.09
2024-08-01,149.93
2024-09-01,149.93


 Definition: Indice de Actividad Empresarial No Petrolera. Source: SRI
