date,RIND0001
2003-01-01,100.0
2003-02-01,99.49
2003-03-01,98.25
2003-04-01,98.94
2003-05-01,101.66
2003-06-01,101.86
2003-07-01,102.56
2003-08-01,101.24
2003-09-01,102.02
2003-10-01,101.88
2003-11-01,101.1
2003-12-01,101.69
2004-01-01,102.87
2004-02-01,106.42
2004-03-01,107.84
2004-04-01,108.42
2004-05-01,106.55
2004-06-01,108.25
2004-07-01,109.68
2004-08-01,110.73
2004-09-01,112.27
2004-10-01,113.09
2004-11-01,114.76
2004-12-01,115.84
2005-01-01,116.65
2005-02-01,117.86
2005-03-01,118.28
2005-04-01,119.97
2005-05-01,119.1
2005-06-01,119.92
2005-07-01,120.17
2005-08-01,122.02
2005-09-01,123.06
2005-10-01,123.46
2005-11-01,126.13
2005-12-01,126.79
2006-01-01,129.7
2006-02-01,129.87
2006-03-01,133.35
2006-04-01,133.28
2006-05-01,135.86
2006-06-01,136.68
2006-07-01,137.53
2006-08-01,140.2
2006-09-01,140.6
2006-10-01,140.82
2006-11-01,141.09
2006-12-01,143.12
2007-01-01,144.47
2007-02-01,144.24
2007-03-01,144.55
2007-04-01,144.88
2007-05-01,147.63
2007-06-01,149.83
2007-07-01,150.63
2007-08-01,152.17
2007-09-01,152.8
2007-10-01,155.87
2007-11-01,159.34
2007-12-01,159.85
2008-01-01,162.57
2008-02-01,164.23
2008-03-01,165.56
2008-04-01,168.73
2008-05-01,169.29
2008-06-01,169.08
2008-07-01,169.94
2008-08-01,170.01
2008-09-01,171.54
2008-10-01,171.83
2008-11-01,171.42
2008-12-01,170.88
2009-01-01,170.17
2009-02-01,170.28
2009-03-01,169.72
2009-04-01,168.4
2009-05-01,168.27
2009-06-01,169.78
2009-07-01,172.83
2009-08-01,172.38
2009-09-01,174.93
2009-10-01,174.81
2009-11-01,175.76
2009-12-01,176.92
2010-01-01,178.18
2010-02-01,181.0
2010-03-01,184.43
2010-04-01,185.7
2010-05-01,186.24
2010-06-01,188.26
2010-07-01,189.49
2010-08-01,192.5
2010-09-01,193.95
2010-10-01,197.29
2010-11-01,198.32
2010-12-01,201.98
2011-01-01,204.38
2011-02-01,207.29
2011-03-01,206.95
2011-04-01,207.14
2011-05-01,207.59
2011-06-01,210.44
2011-07-01,211.19
2011-08-01,213.72
2011-09-01,213.21
2011-10-01,213.38
2011-11-01,213.39
2011-12-01,215.65
2012-01-01,213.38
2012-02-01,214.06
2012-03-01,216.46
2012-04-01,218.03
2012-05-01,221.1
2012-06-01,221.81
2012-07-01,220.53
2012-08-01,220.57
2012-09-01,219.72
2012-10-01,221.77
2012-11-01,222.8
2012-12-01,222.5
2013-01-01,223.11
2013-02-01,221.92
2013-03-01,223.22
2013-04-01,225.43
2013-05-01,226.67
2013-06-01,225.64
2013-07-01,226.76
2013-08-01,225.82
2013-09-01,227.5
2013-10-01,229.09
2013-11-01,230.86
2013-12-01,229.16
2014-01-01,229.73
2014-02-01,229.93
2014-03-01,228.72
2014-04-01,229.48
2014-05-01,229.32
2014-06-01,228.95
2014-07-01,229.67
2014-08-01,231.06
2014-09-01,231.18
2014-10-01,230.17
2014-11-01,229.12
2014-12-01,229.18
2015-01-01,227.56
2015-02-01,227.28
2015-03-01,227.96
2015-04-01,225.84
2015-05-01,225.94
2015-06-01,225.78
2015-07-01,224.16
2015-08-01,222.89
2015-09-01,221.62
2015-10-01,220.75
2015-11-01,218.39
2015-12-01,217.53
2016-01-01,215.26
2016-02-01,214.66
2016-03-01,213.12
2016-04-01,213.8
2016-05-01,215.27
2016-06-01,214.13
2016-07-01,213.0
2016-08-01,214.58
2016-09-01,216.13
2016-10-01,216.03
2016-11-01,216.8
2016-12-01,217.57
2017-01-01,219.61
2017-02-01,219.47
2017-03-01,222.27
2017-04-01,221.26
2017-05-01,221.75
2017-06-01,223.19
2017-07-01,223.03
2017-08-01,224.4
2017-09-01,224.08
2017-10-01,224.55
2017-11-01,225.76
2017-12-01,226.34
2018-01-01,228.31
2018-02-01,228.1
