date,MFRA0000
2010-01-01,77.224971
2010-02-01,77.439156
2010-03-01,77.90467
2010-04-01,78.303752
2010-05-01,78.34093
2010-06-01,78.665864
2010-07-01,79.794747
2010-08-01,79.969243
2010-09-01,81.264515
2010-10-01,81.299613
2010-11-01,81.761841
2010-12-01,82.432862
2011-01-01,82.292037
2011-02-01,81.765212
2011-03-01,81.680068
2011-04-01,81.716566
2011-05-01,82.09353
2011-06-01,82.114227
2011-07-01,82.462857
2011-08-01,82.762439
2011-09-01,82.841513
2011-10-01,83.414454
2011-11-01,82.813536
2011-12-01,83.197874
2012-01-01,83.402306
2012-02-01,83.006349
2012-03-01,82.884368
2012-04-01,82.539484
2012-05-01,83.258436
2012-06-01,83.414597
2012-07-01,82.833945
2012-08-01,83.26651
2012-09-01,83.158872
2012-10-01,83.289644
2012-11-01,83.082588
2012-12-01,84.516947
2013-01-01,83.714124
2013-02-01,83.873203
2013-03-01,83.79172
2013-04-01,83.506967
2013-05-01,84.632108
2013-06-01,84.233698
2013-07-01,84.546609
2013-08-01,84.613598
2013-09-01,84.325152
2013-10-01,85.246661
2013-11-01,85.701091
2013-12-01,87.330005
2014-01-01,86.154588
2014-02-01,86.647344
2014-03-01,86.92014
2014-04-01,86.504072
2014-05-01,87.032545
2014-06-01,87.097392
2014-07-01,87.111238
2014-08-01,86.76512
2014-09-01,87.560705
2014-10-01,87.602667
2014-11-01,88.084971
2014-12-01,86.581904
2015-01-01,87.412042
2015-02-01,87.075282
2015-03-01,86.118815
2015-04-01,86.17894
2015-05-01,86.890769
2015-06-01,86.785893
2015-07-01,86.526715
2015-08-01,86.155542
2015-09-01,87.190649
2015-10-01,86.848094
2015-11-01,86.495713
2015-12-01,86.256284
2016-01-01,84.886662
2016-02-01,83.98216900000001
2016-03-01,83.351993
2016-04-01,83.903732
2016-05-01,83.798087
2016-06-01,83.429237
2016-07-01,84.074711
2016-08-01,84.970832
2016-09-01,85.222753
2016-10-01,86.07705999999999
2016-11-01,86.027586
2016-12-01,88.194713
2017-01-01,89.16398
2017-02-01,89.385707
2017-03-01,87.755964
2017-04-01,87.377241
2017-05-01,88.017851
2017-06-01,86.42027
2017-07-01,86.277049
2017-08-01,85.826087
2017-09-01,85.803219
2017-10-01,85.582612
2017-11-01,84.89047599999999
2017-12-01,85.315281
2018-01-01,84.783805
2018-02-01,84.62882300000001
2018-03-01,84.66972
2018-04-01,84.034213
2018-05-01,83.896074
2018-06-01,84.117753
2018-07-01,84.147179
2018-08-01,84.150498
2018-09-01,83.750418
2018-10-01,83.039849
2018-11-01,83.534905
2018-12-01,83.556527
2019-01-01,82.699122
2019-02-01,82.006207
2019-03-01,80.450566
2019-04-01,81.187766
2019-05-01,80.683117
2019-06-01,80.756316
2019-07-01,79.17447
2019-08-01,79.654212
2019-09-01,79.739293
2019-10-01,80.421372
2019-11-01,78.685245
2019-12-01,80.509587
2020-01-01,80.708488
2020-02-01,79.478054
2020-03-01,79.441698
2020-04-01,79.834782
2020-05-01,79.851142
2020-06-01,80.086129
2020-07-01,80.430102
2020-08-01,79.928889
2020-09-01,79.820223
2020-10-01,80.415096
2020-11-01,79.486806
2020-12-01,79.951291
2021-01-01,79.315653
2021-02-01,78.178554
2021-03-01,77.894854
2021-04-01,77.711896
2021-05-01,77.164545
2021-06-01,77.858101
2021-07-01,78.805275
2021-08-01,79.163839
2021-09-01,79.881505
2021-10-01,81.099347
2021-11-01,82.487489
2021-12-01,84.381891
2022-01-01,83.884524
2022-02-01,83.852512
2022-03-01,84.328312
2022-04-01,85.152812
2022-05-01,85.725187
2022-06-01,85.687406
2022-07-01,85.31812
2022-08-01,86.496835
2022-09-01,86.909392
2022-10-01,87.505689
2022-11-01,88.094463
2022-12-01,87.66615294
2023-01-01,87.12762918
2023-02-01,87.32465164
2023-03-01,87.70665
2023-04-01,87.18792757
2023-05-01,87.44015351
2023-06-01,87.72955958
2023-07-01,87.06795267
2023-08-01,86.8356785099999
2023-09-01,87.2798794
2023-10-01,87.72797213
2023-11-01,86.689863
2023-12-01,87.25057062
2024-01-01,86.56804043
2024-02-01,85.57788801
2024-03-01,86.40447723
2024-04-01,86.38061388
2024-05-01,86.47073829
2024-06-01,86.5504543
2024-07-01,86.57363305
2024-08-01,87.34933
2024-09-01,88.03093763
2024-10-01,88.79557541
2024-11-01,89.90441847
2024-12-01,91.72638799
2025-01-01,93.4174167


 Definition: Moneda Fraccionaria del Banco Central. Source: BCE
