date,RIND0002
2003-01-01,100.0
2003-02-01,100.3
2003-03-01,98.06
2003-04-01,99.95
2003-05-01,100.81
2003-06-01,100.06
2003-07-01,101.91
2003-08-01,101.17
2003-09-01,102.32
2003-10-01,102.05
2003-11-01,101.56
2003-12-01,100.78
2004-01-01,103.51
2004-02-01,104.18
2004-03-01,105.79
2004-04-01,105.42
2004-05-01,105.38
2004-06-01,106.77
2004-07-01,107.86
2004-08-01,107.81
2004-09-01,108.35
2004-10-01,109.62
2004-11-01,110.75
2004-12-01,112.35
2005-01-01,110.8
2005-02-01,112.25
2005-03-01,112.98
2005-04-01,114.64
2005-05-01,113.47
2005-06-01,115.35
2005-07-01,114.03
2005-08-01,115.26
2005-09-01,115.69
2005-10-01,115.4
2005-11-01,116.55
2005-12-01,115.98
2006-01-01,117.75
2006-02-01,117.61
2006-03-01,119.57
2006-04-01,119.2
2006-05-01,120.91
2006-06-01,120.6
2006-07-01,120.1
2006-08-01,122.6
2006-09-01,122.81
2006-10-01,122.17
2006-11-01,122.85
2006-12-01,121.57
2007-01-01,124.66
2007-02-01,124.82
2007-03-01,123.94
2007-04-01,123.45
2007-05-01,124.54
2007-06-01,124.68
2007-07-01,125.56
2007-08-01,126.58
2007-09-01,124.85
2007-10-01,127.6
2007-11-01,128.5
2007-12-01,129.57
2008-01-01,128.83
2008-02-01,128.7
2008-03-01,128.22
2008-04-01,130.2
2008-05-01,129.72
2008-06-01,130.51
2008-07-01,130.5
2008-08-01,131.14
2008-09-01,131.93
2008-10-01,131.76
2008-11-01,131.99
2008-12-01,132.0
2009-01-01,131.24
2009-02-01,132.27
2009-03-01,133.3
2009-04-01,132.0
2009-05-01,132.5
2009-06-01,132.69
2009-07-01,134.46
2009-08-01,132.04
2009-09-01,134.44
2009-10-01,134.5
2009-11-01,133.72
2009-12-01,136.13
2010-01-01,135.2
2010-02-01,136.48
2010-03-01,138.38
2010-04-01,137.87
2010-05-01,136.99
2010-06-01,137.99
2010-07-01,139.09
2010-08-01,138.92
2010-09-01,139.38
2010-10-01,140.49
2010-11-01,140.18
2010-12-01,141.83
2011-01-01,141.86
2011-02-01,142.36
2011-03-01,141.7
2011-04-01,142.26
2011-05-01,142.53
2011-06-01,144.08
2011-07-01,141.98
2011-08-01,144.61
2011-09-01,145.27
2011-10-01,143.09
2011-11-01,144.4
2011-12-01,145.71
2012-01-01,144.36
2012-02-01,144.97
2012-03-01,146.67
2012-04-01,145.88
2012-05-01,147.58
2012-06-01,147.48
2012-07-01,148.27
2012-08-01,147.66
2012-09-01,145.96
2012-10-01,147.44
2012-11-01,148.37
2012-12-01,146.76
2013-01-01,148.41
2013-02-01,147.47
2013-03-01,147.78
2013-04-01,148.77
2013-05-01,149.1
2013-06-01,147.9
2013-07-01,148.59
2013-08-01,148.79
2013-09-01,148.48
2013-10-01,149.44
2013-11-01,148.91
2013-12-01,148.03
2014-01-01,148.95
2014-02-01,148.89
2014-03-01,148.44
2014-04-01,149.58
2014-05-01,150.57
2014-06-01,150.24
2014-07-01,150.73
2014-08-01,151.1
2014-09-01,152.7
2014-10-01,153.36
2014-11-01,153.6
2014-12-01,154.32
2015-01-01,152.36
2015-02-01,152.59
2015-03-01,152.57
2015-04-01,152.09
2015-05-01,149.67
2015-06-01,150.56
2015-07-01,149.31
2015-08-01,147.25
2015-09-01,146.77
2015-10-01,146.06
2015-11-01,145.4
2015-12-01,145.09
2016-01-01,144.3
2016-02-01,145.07
2016-03-01,144.04
2016-04-01,144.58
2016-05-01,145.7
2016-06-01,144.38
2016-07-01,144.53
2016-08-01,145.15
2016-09-01,144.67
2016-10-01,144.76
2016-11-01,144.52
2016-12-01,144.59
2017-01-01,145.98
2017-02-01,144.85
2017-03-01,146.47
2017-04-01,144.71
2017-05-01,145.04
2017-06-01,146.78
2017-07-01,146.68
2017-08-01,148.22
2017-09-01,147.27
2017-10-01,147.37
2017-11-01,149.41
2017-12-01,150.2
2018-01-01,151.05
2018-02-01,150.02
2018-03-01,151.68
2018-04-01,151.51
2018-05-01,152.16
2018-06-01,151.05
2018-07-01,150.77
2018-08-01,150.7
2018-09-01,150.96
2018-10-01,150.34
2018-11-01,152.54
2018-12-01,149.45
2019-01-01,149.69
2019-02-01,150.2
2019-03-01,149.44
2019-04-01,149.87
2019-05-01,148.0
2019-06-01,149.15
2019-07-01,149.43
2019-08-01,149.51
2019-09-01,149.19
2019-10-01,149.62
2019-11-01,149.91
2019-12-01,148.76
2020-01-01,147.36
2020-02-01,146.97
2020-03-01,125.56
2020-04-01,132.78
2020-05-01,137.58
2020-06-01,140.17
2020-07-01,141.6
2020-08-01,143.12
2020-09-01,144.76
2020-10-01,145.5
2020-11-01,146.86
2020-12-01,133.83
2021-01-01,142.49
2021-02-01,145.29
2021-03-01,143.83
