date,TINC0000
2016-03-31,-481.93214775732696
2016-06-30,-466.53454531592575
2016-09-30,-450.21484717693227
2016-12-31,-476.0524992644279
2017-03-31,-611.8682361509503
2017-06-30,-565.7826054207197
2017-09-30,-600.5641908864519
2017-12-31,-590.5931383200931
2018-03-31,-648.2581220510776
2018-06-30,-716.0199278082258
2018-09-30,-713.6649838393125
2018-12-31,-791.2783118939195
2019-03-31,-764.654587583619
2019-06-30,-681.921713327484
2019-09-30,-789.2716385449445
2019-12-31,-824.5060209024418
2020-03-31,-866.3684768830009
2020-06-30,-880.549129684893
2020-09-30,-1116.41032742441
2020-12-31,-464.6881414333404
2021-03-31,-423.7930972075844
2021-06-30,-429.3717154226184
2021-09-30,-460.9052165625077
2021-12-31,-417.7311673498878
2022-03-31,-493.3209620384851
2022-06-30,-403.55101574644186
2022-09-30,-516.2535634097571
2022-12-31,-502.65049897658776
2023-03-31,-671.8166738231142
2023-06-30,-635.9203399158255
2023-09-30,-727.3297557697241
2023-12-31,-652.4032745881071
2024-03-31,-914.2092401821712
2024-06-30,-679.3167927011107
2024-09-30,-864.4287410116884


 Definition: Ingreso primario. Source: BCE
